Thoi_gian,Vi_do,Kinh_do,Dich_vu,Quan_Huyen,Quang_duong_km,Thoi_gian_phut
2024-01-01 00:00:37,10.774231,106.691275,GrabBike,Quận 3,4.5,26.9
2024-01-01 00:15:17,10.773617,106.691208,GrabCar,Quận 3,8.84,55.7
2024-01-01 00:53:16,10.782166,106.702253,BeBike,Quận 1,4.18,31.0
2024-01-01 00:53:32,10.802808,106.734177,GrabBike,Quận 2,2.7,20.6
2024-01-01 00:57:00,10.775174,106.68153,GrabCar,Quận 3,1.13,10.8
2024-01-01 01:06:51,10.776407,106.682352,GrabBike,Quận 3,4.15,16.1
2024-01-01 01:08:58,10.777786,106.690507,BeCar,Quận 1,8.02,56.0
2024-01-01 01:17:57,10.774499,106.694435,GrabBike,Quận 1,4.19,24.6
2024-01-01 01:47:44,10.778313,106.707733,GrabBike,Quận 1,5.1,24.1
2024-01-01 02:26:38,10.805353,106.660642,GrabBike,Tân Bình,4.27,29.4
2024-01-01 02:29:41,10.77426,106.704129,BeBike,Quận 1,6.65,39.4
2024-01-01 03:03:29,10.722159,106.733793,BeCar,Quận 7,5.4,43.8
2024-01-01 03:34:39,10.775105,106.695647,BeBike,Quận 1,4.37,36.1
2024-01-01 03:35:38,10.784559,106.706846,BeBike,Quận 1,1.85,14.7
2024-01-01 04:12:21,10.778913,106.690333,GrabBike,Quận 1,2.73,19.6
2024-01-01 04:48:17,10.780725,106.69604,GrabBike,Quận 1,4.85,27.3
2024-01-01 04:58:23,10.789707,106.734762,BeCar,Quận 2,8.89,43.8
2024-01-01 05:19:16,10.793086,106.752337,GrabCar,Quận 2,4.43,38.2
2024-01-01 05:24:37,10.80046,106.673468,GrabCar,Tân Bình,4.91,29.5
2024-01-01 05:27:55,10.771311,106.691193,GrabCar,Quận 1,3.37,24.5
2024-01-01 05:54:13,10.778954,106.705288,GrabBike,Quận 1,4.53,22.6
2024-01-01 06:00:50,10.789156,106.68874,BeCar,Quận 3,5.34,27.0
2024-01-01 06:21:13,10.72599,106.73433,GrabCar,Quận 7,6.95,50.6
2024-01-01 06:29:42,10.78363,106.692937,GrabCar,Quận 1,1.63,10.0
2024-01-01 06:46:03,10.806176,106.663888,GrabCar,Tân Bình,2.53,22.0
2024-01-01 07:13:34,10.779966,106.69178,BeBike,Quận 3,4.76,38.8
2024-01-01 07:21:45,10.769014,106.70129,GrabBike,Quận 1,6.63,34.9
2024-01-01 07:22:47,10.775695,106.685383,GrabBike,Quận 3,2.32,8.9
2024-01-01 07:41:30,10.781256,106.694441,GrabBike,Quận 1,1.59,10.8
2024-01-01 07:46:44,10.789834,106.758523,GrabBike,Quận 2,8.31,42.9
2024-01-01 08:01:25,10.780945,106.700309,GrabCar,Quận 1,4.5,32.2
2024-01-01 08:04:52,10.79944,106.660633,GrabCar,Tân Bình,4.53,39.6
2024-01-01 08:15:25,10.781159,106.70477,BeCar,Quận 1,4.05,29.3
2024-01-01 08:16:53,10.727338,106.724862,BeBike,Quận 7,1.76,20.1
2024-01-01 08:18:02,10.769615,106.690418,GrabCar,Quận 1,8.08,44.4
2024-01-01 08:42:26,10.793717,106.736731,BeCar,Quận 2,9.25,77.6
2024-01-01 09:22:14,10.781973,106.751895,BeCar,Quận 2,6.96,50.4
2024-01-01 10:00:51,10.734939,106.728888,BeBike,Quận 7,2.1,22.1
2024-01-01 10:02:40,10.783951,106.688217,GrabBike,Quận 3,3.3,26.3
2024-01-01 10:19:40,10.801147,106.656582,GrabBike,Tân Bình,1.35,11.6
2024-01-01 10:22:41,10.778215,106.693601,GrabBike,Quận 1,7.49,32.1
2024-01-01 10:55:53,10.781862,106.699413,Gojek,Quận 1,13.09,97.8
2024-01-01 11:35:43,10.776086,106.686752,GrabCar,Quận 3,2.73,14.7
2024-01-01 11:42:17,10.784066,106.691478,BeBike,Quận 1,10.92,61.3
2024-01-01 11:56:56,10.72328,106.730315,BeBike,Quận 7,5.21,35.3
2024-01-01 12:06:25,10.769863,106.690709,GrabCar,Quận 1,3.05,27.1
2024-01-01 12:26:56,10.778263,106.684534,GrabBike,Quận 3,1.96,12.5
2024-01-01 12:37:55,10.806389,106.662683,GrabBike,Tân Bình,2.23,20.4
2024-01-01 12:43:27,10.788437,106.688761,BeBike,Quận 3,3.9,30.7
2024-01-01 12:57:18,10.814676,106.661911,BeBike,Tân Bình,3.75,27.1
2024-01-01 13:09:27,10.769434,106.7072,GrabCar,Quận 1,2.04,11.2
2024-01-01 13:36:24,10.772074,106.688865,GrabBike,Quận 3,9.15,42.3
2024-01-01 13:38:35,10.768532,106.703702,GrabBike,Quận 1,9.43,69.0
2024-01-01 13:49:28,10.748138,106.716678,GrabBike,Quận 7,1.99,14.4
2024-01-01 13:51:32,10.786024,106.736788,GrabCar,Quận 2,6.35,39.2
2024-01-01 13:52:56,10.734752,106.710127,GrabCar,Quận 7,6.45,38.2
2024-01-01 13:55:51,10.77944,106.69663,BeCar,Quận 1,10.32,61.2
2024-01-01 13:57:52,10.773493,106.698303,Gojek,Quận 1,1.6,12.4
2024-01-01 14:21:47,10.777224,106.692555,GrabCar,Quận 1,3.02,23.7
2024-01-01 14:27:35,10.780032,106.705893,BeBike,Quận 1,2.05,14.8
2024-01-01 14:27:46,10.772726,106.693247,BeBike,Quận 1,4.36,29.7
2024-01-01 14:43:30,10.81021,106.654589,BeBike,Tân Bình,3.77,24.6
2024-01-01 14:54:47,10.768701,106.701146,GrabBike,Quận 1,2.73,18.6
2024-01-01 14:59:57,10.776316,106.680405,GrabBike,Quận 3,30.0,120.0
2024-01-01 16:07:11,10.80454,106.738756,GrabBike,Quận 2,2.29,16.9
2024-01-01 16:36:18,10.813069,106.654455,BeCar,Tân Bình,3.11,24.9
2024-01-01 16:58:07,10.781923,106.699036,BeBike,Quận 1,8.55,63.4
2024-01-01 17:01:04,10.769336,106.703205,GrabBike,Quận 1,4.14,34.9
2024-01-01 17:30:14,10.788057,106.680282,GrabBike,Quận 3,4.33,33.1
2024-01-01 17:52:03,10.780335,106.698011,GrabCar,Quận 1,5.74,23.5
